thema,quelle,themenbezogenheit__mean,themenbezogenheit__std,themenbezogenheit__count,logik-des-aufbaus__mean,logik-des-aufbaus__std,logik-des-aufbaus__count,ausfuehrlichkeit-aussagekraft__mean,ausfuehrlichkeit-aussagekraft__std,ausfuehrlichkeit-aussagekraft__count,sprachbeherrschung__mean,sprachbeherrschung__std,sprachbeherrschung__count,komplexitaet__mean,komplexitaet__std,komplexitaet__count,wortschatz-textverknuepfung__mean,wortschatz-textverknuepfung__std,wortschatz-textverknuepfung__count,gebrauch-sprachlicher-strukturen__mean,gebrauch-sprachlicher-strukturen__std,gebrauch-sprachlicher-strukturen__count,overall_score__mean,overall_score__std,overall_score__count
Artists' freedom to express ideas,ChatGPT-3,4.222222222222222,0.44095855184409855,9,4.277777777777778,0.4409585518440985,9,4.666666666666667,0.4330127018922194,9,4.722222222222222,0.4409585518440985,9,3.8333333333333335,0.49999999999999983,9,4.277777777777778,0.4409585518440985,9,4.277777777777778,0.4409585518440985,9,4.3244444444444445,0.4244440808608101,9
Artists' freedom to express ideas,ChatGPT-4,4.888888888888889,0.4166666666666667,9,4.888888888888889,0.4166666666666667,9,5.0,0.4330127018922193,9,5.111111111111111,0.485912657903775,9,4.611111111111111,0.5464532103585001,9,4.944444444444445,0.39086797998528583,9,4.888888888888889,0.4166666666666667,9,4.904444444444445,0.4236776814723405,9
Artists' freedom to express ideas,ClaudeOpus4.6,5.166666666666667,0.5,9,5.111111111111111,0.48591265790377514,9,5.166666666666667,0.4330127018922192,9,5.222222222222222,0.4409585518440985,9,4.833333333333333,0.4330127018922193,9,5.055555555555555,0.46398036356916855,9,5.055555555555555,0.5270462766947299,9,5.087777777777777,0.44361519861750076,9
Artists' freedom to express ideas,ClaudeOpus4.7,5.333333333333333,0.3535533905932738,9,5.277777777777778,0.36324157862838946,9,5.388888888888889,0.33333333333333337,9,5.388888888888889,0.33333333333333337,9,4.944444444444445,0.3004626062886658,9,5.222222222222222,0.3632415786283895,9,5.277777777777778,0.36324157862838946,9,5.262222222222222,0.31995225338235145,9
Artists' freedom to express ideas,DeepSeek-V3.2,5.055555555555555,0.39086797998528583,9,5.055555555555555,0.39086797998528583,9,5.277777777777778,0.2635231383473649,9,5.277777777777778,0.3632415786283895,9,4.777777777777778,0.3632415786283895,9,5.111111111111111,0.33333333333333337,9,5.111111111111111,0.3333333333333334,9,5.095555555555555,0.3072910310727891,9
Artists' freedom to express ideas,DeepSeek-V4Pro,5.333333333333333,0.4330127018922194,9,5.388888888888889,0.33333333333333337,9,5.333333333333333,0.4330127018922194,9,5.333333333333333,0.4330127018922194,9,5.222222222222222,0.44095855184409843,9,5.388888888888889,0.33333333333333337,9,5.277777777777778,0.4409585518440984,9,5.325555555555556,0.3921769725236016,9
Artists' freedom to express ideas,GPT-5.5,4.944444444444445,0.4639803635691685,9,4.888888888888889,0.485912657903775,9,5.0,0.4330127018922193,9,5.055555555555555,0.39086797998528594,9,4.555555555555555,0.39086797998528583,9,4.666666666666667,0.4330127018922192,9,4.777777777777778,0.6180165405913053,9,4.842222222222222,0.4376579080108623,9
Artists' freedom to express ideas,Gemini3.1Pro,5.166666666666667,0.5590169943749473,9,4.833333333333333,0.5590169943749475,9,5.055555555555555,0.46398036356916855,9,5.111111111111111,0.41666666666666663,9,4.888888888888889,0.5464532103585,9,5.111111111111111,0.41666666666666663,9,5.0,0.5590169943749476,9,5.024444444444445,0.47736545515755313,9
Artists' freedom to express ideas,Kimi-K2.6,5.388888888888889,0.41666666666666663,9,5.222222222222222,0.44095855184409843,9,5.388888888888889,0.4859126579037751,9,5.388888888888889,0.4859126579037751,9,5.055555555555555,0.52704627669473,9,5.277777777777778,0.4409585518440984,9,5.277777777777778,0.4409585518440984,9,5.285555555555556,0.43139631173409176,9
Artists' freedom to express ideas,MiniMax-M2.7,5.222222222222222,0.5068968775248516,9,5.222222222222222,0.5068968775248517,9,5.277777777777778,0.4409585518440984,9,5.333333333333333,0.43301270189221935,9,4.833333333333333,0.4330127018922193,9,5.0,0.5,9,5.111111111111111,0.5464532103585001,9,5.1433333333333335,0.4510543204537566,9
Artists' freedom to express ideas,Qwen3.6Plus,5.444444444444445,0.46398036356916844,9,5.444444444444445,0.46398036356916844,9,5.444444444444445,0.46398036356916844,9,5.444444444444445,0.5270462766947299,9,5.166666666666667,0.3535533905932738,9,5.444444444444445,0.46398036356916844,9,5.444444444444445,0.46398036356916844,9,5.405555555555555,0.44215696056692094,9
Artists' freedom to express ideas,Student,4.611111111111111,0.3333333333333333,9,4.055555555555555,0.30046260628866567,9,4.0,0.3535533905932737,9,3.5555555555555554,0.39086797998528594,9,3.611111111111111,0.22047927592204938,9,3.8333333333333335,0.3535533905932738,9,3.611111111111111,0.4166666666666668,9,3.898888888888889,0.30399195895798137,9
Everyone Should Go Camping,ChatGPT-3,4.555555555555555,0.7682953714410738,9,4.555555555555555,0.6821127309893708,9,4.833333333333333,0.5,9,4.888888888888889,0.4859126579037751,9,3.5555555555555554,0.6821127309893708,9,4.166666666666667,0.6123724356957945,9,4.166666666666667,0.6123724356957946,9,4.387777777777777,0.5775114236484372,9
Everyone Should Go Camping,ChatGPT-4,5.333333333333333,0.3535533905932738,9,5.333333333333333,0.24999999999999997,9,5.388888888888889,0.22047927592204924,9,5.444444444444445,0.3004626062886657,9,4.777777777777778,0.3632415786283895,9,5.277777777777778,0.3632415786283895,9,5.166666666666667,0.5,9,5.246666666666666,0.2873586609100202,9
Everyone Should Go Camping,ClaudeOpus4.6,5.277777777777778,0.4409585518440985,9,5.333333333333333,0.3535533905932738,9,5.388888888888889,0.33333333333333337,9,5.388888888888889,0.33333333333333337,9,4.722222222222222,0.4409585518440985,9,5.055555555555555,0.39086797998528583,9,5.0,0.49999999999999994,9,5.167777777777777,0.3547456052503603,9
Everyone Should Go Camping,ClaudeOpus4.7,5.277777777777778,0.4409585518440985,9,5.277777777777778,0.3632415786283895,9,5.5,0.25,9,5.444444444444445,0.3004626062886658,9,4.833333333333333,0.3535533905932738,9,5.222222222222222,0.3632415786283895,9,5.111111111111111,0.33333333333333337,9,5.238888888888889,0.2866812011819245,9
Everyone Should Go Camping,DeepSeek-V3.2,5.277777777777778,0.5651941652604389,9,5.277777777777778,0.4409585518440984,9,5.388888888888889,0.33333333333333326,9,5.388888888888889,0.3333333333333334,9,4.777777777777778,0.5068968775248516,9,5.166666666666667,0.5590169943749475,9,5.111111111111111,0.485912657903775,9,5.198888888888889,0.4282068555162459,9
Everyone Should Go Camping,DeepSeek-V4Pro,5.444444444444445,0.4639803635691684,9,5.388888888888889,0.3333333333333334,9,5.5,0.25,9,5.5,0.3535533905932737,9,5.0,0.4330127018922196,9,5.333333333333333,0.4330127018922193,9,5.333333333333333,0.4330127018922193,9,5.357777777777778,0.3422271825037344,9
Everyone Should Go Camping,GLM-5.1,5.055555555555555,0.6346477588219923,9,5.111111111111111,0.4859126579037751,9,5.277777777777778,0.3632415786283894,9,5.277777777777778,0.36324157862838946,9,4.611111111111111,0.4859126579037751,9,4.888888888888889,0.48591265790377497,9,4.944444444444445,0.46398036356916844,9,5.025555555555556,0.43672391482237133,9
Everyone Should Go Camping,GPT-5.5,4.777777777777778,0.6180165405913053,9,4.833333333333333,0.49999999999999994,9,5.0,0.4330127018922194,9,4.888888888888889,0.33333333333333326,9,4.111111111111111,0.6508541396588879,9,4.5,0.6123724356957945,9,4.555555555555555,0.5833333333333334,9,4.666666666666667,0.5055689863905815,9
Everyone Should Go Camping,Gemini3.1Pro,5.5,0.5590169943749475,9,5.277777777777778,0.6666666666666666,9,5.5,0.4330127018922193,9,5.555555555555555,0.3004626062886658,9,5.333333333333333,0.5,9,5.388888888888889,0.4859126579037751,9,5.444444444444445,0.4639803635691686,9,5.427777777777778,0.4324285425876099,9
Everyone Should Go Camping,Kimi-K2.6,5.333333333333333,0.4330127018922194,9,5.388888888888889,0.33333333333333326,9,5.5,0.3535533905932738,9,5.444444444444445,0.3004626062886658,9,4.888888888888889,0.33333333333333326,9,5.277777777777778,0.4409585518440985,9,5.222222222222222,0.565194165260439,9,5.295555555555556,0.35560199349522464,9
Everyone Should Go Camping,MiniMax-M2.7,5.388888888888889,0.48591265790377497,9,5.333333333333333,0.3535533905932738,9,5.444444444444445,0.3004626062886658,9,5.333333333333333,0.3535533905932738,9,4.666666666666667,0.5,9,5.055555555555555,0.39086797998528583,9,5.0,0.49999999999999994,9,5.1755555555555555,0.34608926273113094,9
Everyone Should Go Camping,Qwen3.6Plus,5.666666666666667,0.3535533905932738,9,5.666666666666667,0.25000000000000006,9,5.722222222222222,0.26352313834736496,9,5.666666666666667,0.25000000000000006,9,5.444444444444445,0.3004626062886657,9,5.611111111111111,0.33333333333333337,9,5.555555555555555,0.4639803635691685,9,5.618888888888889,0.28431692019841365,9
Everyone Should Go Camping,Student,5.666666666666667,0.3535533905932738,9,5.0,0.4330127018922193,9,5.055555555555555,0.39086797998528583,9,4.555555555555555,0.3908679799852857,9,4.444444444444445,0.4639803635691689,9,4.611111111111111,0.485912657903775,9,4.5,0.4330127018922193,9,4.833333333333333,0.3598958182585621,9
Giving mobile phones to the unemployed,ChatGPT-3,4.833333333333333,0.5590169943749475,9,4.777777777777778,0.6180165405913052,9,4.888888888888889,0.485912657903775,9,4.833333333333333,0.5590169943749475,9,3.8333333333333335,0.4330127018922193,9,4.388888888888889,0.5464532103585,9,4.388888888888889,0.5464532103585,9,4.561111111111111,0.4984085784886843,9
