thema,quelle,themenbezogenheit__mean,themenbezogenheit__std,themenbezogenheit__count,logik-des-aufbaus__mean,logik-des-aufbaus__std,logik-des-aufbaus__count,ausfuehrlichkeit-aussagekraft__mean,ausfuehrlichkeit-aussagekraft__std,ausfuehrlichkeit-aussagekraft__count,sprachbeherrschung__mean,sprachbeherrschung__std,sprachbeherrschung__count,komplexitaet__mean,komplexitaet__std,komplexitaet__count,wortschatz-textverknuepfung__mean,wortschatz-textverknuepfung__std,wortschatz-textverknuepfung__count,gebrauch-sprachlicher-strukturen__mean,gebrauch-sprachlicher-strukturen__std,gebrauch-sprachlicher-strukturen__count,overall_score__mean,overall_score__std,overall_score__count,id,File,sent_count,word_count,sent_complex_tags,sent_complex_depth,LD,discourse,modals1,modals2,modals_all,EpMarkers,nominalisation,dm_per_sent,mod_per_sent,ep_per_sent,nom_per_sent
Artists' freedom to express ideas,ChatGPT-3,4.222222222222222,0.44095855184409855,9,4.277777777777778,0.4409585518440985,9,4.666666666666667,0.4330127018922194,9,4.722222222222222,0.4409585518440985,9,3.8333333333333335,0.49999999999999983,9,4.277777777777778,0.4409585518440985,9,4.277777777777778,0.4409585518440985,9,4.3244444444444445,0.4244440808608101,9,80,essay81.txt,11,243,2.727272727272727,6.545454545454546,94.94886922320552,5,0,5,5,0,14,0.4545454545454545,0.4545454545454545,0.0,1.2727272727272727
Artists' freedom to express ideas,ChatGPT-4,4.888888888888889,0.4166666666666667,9,4.888888888888889,0.4166666666666667,9,5.0,0.4330127018922193,9,5.111111111111111,0.485912657903775,9,4.611111111111111,0.5464532103585001,9,4.944444444444445,0.39086797998528583,9,4.888888888888889,0.4166666666666667,9,4.904444444444445,0.4236776814723405,9,80,essay81.txt,13,287,1.7692307692307692,6.230769230769231,95.48906297315804,5,1,5,6,0,25,0.3846153846153846,0.4615384615384615,0.0,1.9230769230769231
Artists' freedom to express ideas,ClaudeOpus4.6,5.166666666666667,0.5,9,5.111111111111111,0.48591265790377514,9,5.166666666666667,0.4330127018922192,9,5.222222222222222,0.4409585518440985,9,4.833333333333333,0.4330127018922193,9,5.055555555555555,0.46398036356916855,9,5.055555555555555,0.5270462766947299,9,5.087777777777777,0.44361519861750076,9,80,essay81.txt,15,207,1.6,4.2,151.04293811306547,6,1,6,7,1,19,0.4,0.4666666666666667,0.0666666666666666,1.2666666666666666
Artists' freedom to express ideas,ClaudeOpus4.7,5.333333333333333,0.3535533905932738,9,5.277777777777778,0.36324157862838946,9,5.388888888888889,0.33333333333333337,9,5.388888888888889,0.33333333333333337,9,4.944444444444445,0.3004626062886658,9,5.222222222222222,0.3632415786283895,9,5.277777777777778,0.36324157862838946,9,5.262222222222222,0.31995225338235145,9,80,essay81.txt,13,208,2.3076923076923075,4.923076923076923,147.26720002816432,3,1,5,6,0,12,0.2307692307692307,0.4615384615384615,0.0,0.9230769230769232
Artists' freedom to express ideas,DeepSeek-V3.2,5.055555555555555,0.39086797998528583,9,5.055555555555555,0.39086797998528583,9,5.277777777777778,0.2635231383473649,9,5.277777777777778,0.3632415786283895,9,4.777777777777778,0.3632415786283895,9,5.111111111111111,0.33333333333333337,9,5.111111111111111,0.3333333333333334,9,5.095555555555555,0.3072910310727891,9,80,essay81.txt,10,174,2.2,5.0,188.38400000000004,5,0,3,3,0,15,0.5,0.3,0.0,1.5
Artists' freedom to express ideas,DeepSeek-V4Pro,5.333333333333333,0.4330127018922194,9,5.388888888888889,0.33333333333333337,9,5.333333333333333,0.4330127018922194,9,5.333333333333333,0.4330127018922194,9,5.222222222222222,0.44095855184409843,9,5.388888888888889,0.33333333333333337,9,5.277777777777778,0.4409585518440984,9,5.325555555555556,0.3921769725236016,9,80,essay81.txt,12,205,1.5833333333333333,5.333333333333333,206.43859649122808,7,1,3,4,0,12,0.5833333333333334,0.3333333333333333,0.0,1.0
Artists' freedom to express ideas,GPT-5.5,4.944444444444445,0.4639803635691685,9,4.888888888888889,0.485912657903775,9,5.0,0.4330127018922193,9,5.055555555555555,0.39086797998528594,9,4.555555555555555,0.39086797998528583,9,4.666666666666667,0.4330127018922192,9,4.777777777777778,0.6180165405913053,9,4.842222222222222,0.4376579080108623,9,80,essay81.txt,12,188,2.333333333333333,4.666666666666667,190.31384615384616,11,0,7,7,0,9,0.9166666666666666,0.5833333333333334,0.0,0.75
Artists' freedom to express ideas,Gemini3.1Pro,5.166666666666667,0.5590169943749473,9,4.833333333333333,0.5590169943749475,9,5.055555555555555,0.46398036356916855,9,5.111111111111111,0.41666666666666663,9,4.888888888888889,0.5464532103585,9,5.111111111111111,0.41666666666666663,9,5.0,0.5590169943749476,9,5.024444444444445,0.47736545515755313,9,80,essay81.txt,9,193,2.888888888888889,6.555555555555555,114.4484501765034,6,0,2,2,0,13,0.6666666666666666,0.2222222222222222,0.0,1.4444444444444444
Artists' freedom to express ideas,Kimi-K2.6,5.388888888888889,0.41666666666666663,9,5.222222222222222,0.44095855184409843,9,5.388888888888889,0.4859126579037751,9,5.388888888888889,0.4859126579037751,9,5.055555555555555,0.52704627669473,9,5.277777777777778,0.4409585518440984,9,5.277777777777778,0.4409585518440984,9,5.285555555555556,0.43139631173409176,9,80,essay81.txt,14,199,1.0714285714285714,4.428571428571429,252.0063636363637,5,3,4,7,0,17,0.3571428571428571,0.5,0.0,1.2142857142857142
Artists' freedom to express ideas,MiniMax-M2.7,5.222222222222222,0.5068968775248516,9,5.222222222222222,0.5068968775248517,9,5.277777777777778,0.4409585518440984,9,5.333333333333333,0.43301270189221935,9,4.833333333333333,0.4330127018922193,9,5.0,0.5,9,5.111111111111111,0.5464532103585001,9,5.1433333333333335,0.4510543204537566,9,80,essay81.txt,14,227,2.142857142857143,4.928571428571429,165.60149089221488,5,1,4,5,0,15,0.3571428571428571,0.3571428571428571,0.0,1.0714285714285714
